RAILS_clean_acc,RAILS_adversarial_acc,n_neighbors,n_population,mutation_range_L,mutation_range_U
0.732,0.574,3,120,0.001,0.002
0.627,0.524,3,120,0.001,0.16833333333333333
0.546,0.45,3,120,0.001,0.33466666666666667
0.344,0.29,3,120,0.001,0.501
0.621,0.511,3,120,0.16733333333333333,0.16833333333333333
0.547,0.444,3,120,0.16733333333333333,0.33466666666666667
0.363,0.313,3,120,0.16733333333333333,0.501
0.182,0.181,3,120,0.16733333333333333,0.6673333333333333
0.416,0.388,3,120,0.33366666666666667,0.33466666666666667
0.337,0.275,3,120,0.33366666666666667,0.501
0.196,0.177,3,120,0.33366666666666667,0.6673333333333333
0.105,0.11,3,120,0.33366666666666667,0.8336666666666667
0.201,0.171,3,120,0.5,0.501
0.134,0.125,3,120,0.5,0.6673333333333333
0.103,0.099,3,120,0.5,0.8336666666666667
0.078,0.096,3,120,0.5,1.0
